# name|first season start year|last season end year  (All-Stars in lebron-duo-data.js with no headshot in players_all.json)
Jason Kidd|1994|2013
Alex English|1976|1991
Tiny Archibald|1970|1984
Lenny Wilkens|1960|1975
Tommy Heinsohn|1956|1965
Slater Martin|1949|1960
Jermaine O'Neal|1996|2014
Vern Mikkelsen|1949|1959
Jim Pollard|1948|1955
Neil Johnston|1951|1959
Jo Jo White|1969|1981
Larry Foust|1950|1962
Shawn Marion|1999|2015
Dennis Johnson|1976|1990
Harry Gallatin|1948|1958
Mark Price|1986|1998
Paul Westphal|1972|1984
Sidney Moncrief|1979|1991
Bailey Howell|1959|1971
Bob Davies|1948|1955
Richie Guerin|1956|1970
Bobby Wanzer|1948|1957
Brandon Roy|2006|2013
Chet Walker|1962|1975
Dick McGuire|1949|1960
Gus Johnson|1963|1973
Jack Sikma|1977|1991
Predrag Stojakovic|1998|2011
George Yardley|1953|1960
Jack Twyman|1955|1966
Larry Costello|1954|1968
Spencer Haywood|1970|1983
Walter Davis|1977|1992
Andy Phillip|1947|1958
Carl Braun|1947|1962
Cliff Hagan|1956|1966
Marques Johnson|1977|1990
Richard Hamilton|1999|2013
Tom Chambers|1981|1998
Vin Baker|1993|2006
Arnie Risen|1948|1958
Clyde Lovellette|1953|1964
Glen Rice|1989|2004
Lou Hudson|1966|1979
Alvin Robertson|1984|1996
Andrew Bynum|2005|2014
Gail Goodrich|1965|1979
Gene Shue|1954|1964
Juwan Howard|1994|2013
Latrell Sprewell|1992|2005
Tom Gola|1955|1966
Bob Dandridge|1969|1982
Carlos Boozer|2002|2015
Michael Finley|1995|2010
Rashard Lewis|1998|2014
Willie Naulls|1956|1966
Brad Daugherty|1986|1994
Jamaal Wilkes|1974|1986
Paul Seymour|1947|1960
Wayne Embry|1958|1969
Antawn Jamison|1998|2014
Bill Laimbeer|1980|1994
Buck Williams|1981|1998
David Thompson|1976|1984
Detlef Schrempf|1985|2001
Horace Grant|1987|2004
Jerry Stackhouse|1995|2013
Joe Fulks|1946|1954
Maurice Lucas|1976|1988
Don Ohl|1960|1970
Maurice Stokes|1955|1958
Maurice Williams|2003|2016
Mehmet Okur|2002|2012
Michael Redd|2000|2012
Rudy Tomjanovich|1970|1981
Terry Cummings|1982|2000
A.C. Green|1985|2001
BJ Armstrong|1989|2000
Bill Cartwright|1979|1995
Bobby Jones|1976|1986
Dick Garmaker|1955|1961
Maurice Cheeks|1978|1993
Otis Birdsong|1977|1989
Ralph Sampson|1983|1992
Andrei Kirilenko|2001|2015
Bob Love|1966|1977
George McGinnis|1975|1982
Gerald Wallace|2001|2015
Jamaal Magloire|2000|2012
Larry Johnson|1991|2001
Mark Aguirre|1981|1994
Phil Chenier|1971|1981
Sean Elliott|1989|2001
Danny Ainge|1981|1995
Doug Collins|1973|1981
Gus Williams|1975|1987
Guy Rodgers|1958|1970
Johnny Green|1959|1973
Kevin Willis|1984|2007
Mel Hutchins|1951|1958
Micheal Ray Richardson|1978|1986
Paul Silas|1964|1980
Rolando Blackman|1981|1994
Rudy LaRusso|1959|1969
Sidney Wicks|1971|1981
Walt Bellamy|1961|1975
Bill Bridges|1962|1975
Charlie Scott|1971|1980
Dan Roundfield|1976|1987
Jeff Malone|1983|1996
Jeff Mullins|1964|1976
Kevin Duckworth|1986|1997
Max Zaslofsky|1946|1956
Norm Van Lier|1969|1979
Red Kerr|1954|1966
Terry Porter|1985|2002
Frankie Brian|1949|1956
Fred Scolari|1946|1955
Jack George|1953|1961
Jamal Mashburn|1993|2004
Norm Nixon|1977|1989
Phil Smith|1974|1983
Scott Wedman|1974|1987
Steve Smith|1991|2005
Bob Harrison|1949|1958
Bob Kauffman|1968|1975
Dick Van Arsdale|1965|1977
Terry Dischinger|1962|1973
Tom Van Arsdale|1965|1977
Andrew Toney|1980|1988
Antonio Davis|1993|2006
Archie Clark|1966|1976
Cedric Ceballos|1990|2001
Chris Gatling|1991|2002
Christian Laettner|1992|2005
Clifford Robinson|1989|2007
Dana Barros|1989|2004
Doc Rivers|1983|1996
Fat Lever|1982|1994
James Donaldson|1980|1995
Jayson Williams|1990|1999
Jim Paxson|1979|1990
John Johnson|1970|1982
John Starks|1988|2002
Kenny Anderson|1991|2005
Luke Jackson|2004|2008
Mark Jackson|1987|2004
Michael Adams|1985|1996
Randy Smith|1971|1983
Red Rocha|1947|1957
Ricky Pierce|1982|1998
Rik Smits|1988|2000
Sleepy Floyd|1982|1995
Tom Gugliotta|1992|2005
Truck Robinson|1974|1985
Tyrone Hill|1990|2004
Xavier McDaniel|1985|1998
Alex Groza|1949|1951
Bill Bradley|1967|1977
Dick Barnett|1959|1974
Jack Coleman|1949|1958
Ralph Beard|1949|1951
Brian Winters|1974|1983
Dike Eddleman|1949|1953
Don Kojis|1963|1975
Fast Eddie Johnson|1977|1987
Frank Selvy|1954|1964
Geoff Petrie|1970|1976
Hot Rod Hundley|1957|1963
Jack Marin|1966|1977
Jerry Sloan|1965|1976
Jimmy Walker|1967|1976
Joe Caldwell|1964|1970
John Drew|1974|1985
Kelly Tripucka|1981|1991
Kenny Sears|1955|1964
Kiki Vandeweghe|1980|1993
Larry Kenon|1976|1983
Leo Barnhorst|1949|1954
Reggie Theus|1978|1991
Walter Dukes|1955|1963
Zelmo Beaty|1962|1975
Bill Gabor|1949|1955
Bob Boozer|1960|1971
Butch Beard|1969|1979
Cazzie Russell|1966|1978
Flynn Robinson|1966|1973
Fred Brown|1971|1984
Fred Schaus|1949|1954
Jon McGlocklin|1965|1976
Lionel Hollins|1975|1985
Lonnie Shelton|1976|1986
Woody Sauldsberry|1957|1966
World B. Free|1975|1988
Adrian Smith|1961|1971
Alvan Adams|1975|1988
Austin Carr|1971|1981
Billy Knight|1976|1985
Bob Rule|1967|1975
Calvin Murphy|1970|1983
Calvin Natt|1979|1990
Campy Russell|1974|1985
Chuck Noble|1955|1962
Clyde Lee|1966|1976
Curtis Rowe|1971|1979
Dan Issel|1976|1985
Darrall Imhoff|1960|1972
Don Barksdale|1951|1955
Don Buse|1976|1985
Don Sunderlage|1953|1955
Eddie Miles|1963|1972
Jack Molinas|1953|1954
Jeff Ruland|1981|1993
Jim King|1963|1973
Jim Price|1972|1979
Joe Barry Carroll|1980|1991
John Block|1966|1976
Kermit Washington|1973|1988
Lee Shaffer|1961|1964
Len Chappell|1962|1971
Mark Eaton|1982|1993
Mike Mitchell|1978|1988
Nat Clifton|1950|1958
Paul Walther|1949|1955
Ray Felix|1953|1962
Reggie Lewis|1987|1993
Richie Regan|1955|1958
Rickey Green|1977|1992
Sam Lacey|1970|1983
Steve Mix|1969|1983
Tom Meschery|1961|1971
Vince Boryla|1949|1954
Walt Hazzard|1964|1974
